ID,Timestamp,Avg_rating,Total_answers,Total_ratings,Answer,Num_options,Question,OptionA,OptionB,OptionC,OptionD,OptionE,Explanation,Tags
6980999,6/10/2024 20:35,3.88,103,69,A,5,"<p>What output is produced by the following code?</p><p>&nbsp;</p><p><span style=""font-family: courier new, courier, monospace;"">int i = 0;</span><br /><span style=""font-family: courier new, courier, monospace;"">printf(""Result = "");</span></p><p>&nbsp;</p><p><span style=""font-family: courier new, courier, monospace;"">while (i &lt; 10) {</span><br /><span style=""font-family: courier new, courier, monospace;"">&nbsp;&nbsp; if (i % 4 == 0) {</span><br /><span style=""font-family: courier new, courier, monospace;"">&nbsp; &nbsp; &nbsp; printf(""%d "", i);</span><br /><span style=""font-family: courier new, courier, monospace;"">&nbsp;&nbsp; } else if (i % 2 == 0) {</span><br /><span style=""font-family: courier new, courier, monospace;"">&nbsp; &nbsp; &nbsp; printf(""X "");</span><br /><span style=""font-family: courier new, courier, monospace;"">&nbsp;&nbsp; }</span><br /><span style=""font-family: courier new, courier, monospace;"">&nbsp;&nbsp; i++;</span><br /><span style=""font-family: courier new, courier, monospace;"">}</span></p>","<p><span style=""font-family: courier new, courier, monospace;"">0 X 4 X 8</span></p>","<p><span style=""font-family: courier new, courier, monospace;"">X X X X X</span></p>","<p><span style=""font-family: courier new, courier, monospace;"">0 1 X 3 4 5 X 7 8 9</span></p>","<p><span style=""font-family: courier new, courier, monospace;"">X 2 X 6 X</span></p>","<p><span style=""font-family: courier new, courier, monospace;"">0 2 4 6 8</span></p>","<p>Tracing through the values of i, from 0 to 9:</p><p>&nbsp;</p><p><span style=""font-family: courier new, courier, monospace;"">i Printed</span><br /><span style=""font-family: courier new, courier, monospace;"">0 0 (as 0%4 == 0)</span><br /><span style=""font-family: courier new, courier, monospace;"">1</span><br /><span style=""font-family: courier new, courier, monospace;"">2 X (as 2%2 == 0)</span><br /><span style=""font-family: courier new, courier, monospace;"">3</span><br /><span style=""font-family: courier new, courier, monospace;"">4 4 (as 4%4 == 0)</span><br /><span style=""font-family: courier new, courier, monospace;"">5</span><br /><span style=""font-family: courier new, courier, monospace;"">6 X (as 6%2 == 0)</span><br /><span style=""font-family: courier new, courier, monospace;"">7</span><br /><span style=""font-family: courier new, courier, monospace;"">8 8 (as 8%4 == 0)</span><br /><span style=""font-family: courier new, courier, monospace;"">9</span></p>","loop, arrays, arithmetic"
6981038,6/10/2024 21:48,3.64,19,14,B,5,"<p>What output is produced by the following code?<br /><br />int i;<br />int nums[6] = {6, 7, 8, 9, 10, 11};</p><p><br />for (i = 0; i &lt; 6; i++) {<br />&nbsp; &nbsp; nums[(i+1)%6] = nums[i];<br />}</p><p>&nbsp;</p><p>printf(""Result: "");</p><p><br />for (i = 0; i &lt; 6; i++) {<br />&nbsp; &nbsp; printf(""%d "", nums[i]);<br />}</p>",<p>Result: 11 6 7 8 9 10</p>,<p>Result: 6 6 6 6 6 6</p>,<p>Result: 7 8 9 10 11 7</p>,<p>Result: 6 6 7 8 9 10</p>,<p>Result: 0 6 7 8 9 10</p>,"<p>(a) Result: 11 6 7 8 9 10<br />Incorrect. The array doesn't start with 11 and shuffle backwards. The operations of the code do not produce this pattern.</p><p><br />(b) Result: 6 6 6 6 6 6<br />Correct. Each iteration copies a value from position i to position (i+1)%6. Every value in the array eventually becomes 6, as it is the initial value of nums[0].</p><p><br />(c) Result: 7 8 9 10 11 7<br />Incorrect. This would imply shifting the array non-circularly, but the modulo operator keeps it circular.</p><p><br />(d) Result: 6 6 7 8 9 10<br />Incorrect. Only the first two elements are not enough to satisfy the behaviour of this particular loop.</p><p><br />(e) Result: 0 6 7 8 9 10<br />Incorrect. The value 0 is not introduced anywhere in the code.</p>","arithmetic, arrays, loop"
6981052,6/10/2024 22:12,3.17,15,12,D,5,"<p>Which of these will not correctly print ""hello""?</p>","<p>#include &lt;stdio.h&gt;</p><p>int main() {<br />char greeting[6] = ""hello"";<br />printf(""%s\n"", greeting);<br />return 0;<br />}</p>","<p>#include &lt;stdio.h&gt;</p><p>int main() {<br />char greeting[ ] = ""hello"";<br />printf(""%s\n"", greeting);<br />return 0;<br />}</p>","<p>#include &lt;stdio.h&gt;</p><p>int main() {<br />char greeting[10] = ""hello"";<br />printf(""%s\n"", greeting);<br />return 0;<br />}</p>","<p>#include &lt;stdio.h&gt;</p><p>int main() {<br />char greeting[5] = ""hello"";<br />printf(""%s\n"", greeting);<br />return 0;<br />}</p>","<p>#include &lt;stdio.h&gt;</p><p>int main() {<br />char greeting[ ] = {'h', 'e', 'l', 'l', 'o', '\0'};<br />printf(""%s\n"", greeting);<br />return 0;<br />}</p>","<p>D does not have enough space for the entire string as it has an array size of 5, but the string ""hello"" needs 6 as it must be ended with a null terminator ('\0')&nbsp;</p>",strings
6981059,6/10/2024 22:21,3.62,14,13,B,5,"<p>For this code:</p><p>&nbsp;</p><p>#include &lt;stdio.h&gt;<br />#define X 10+2<br />#define Y 5*5</p><p>&nbsp;</p><p>int main() {<br />&nbsp; &nbsp; int A = X * 10;<br />&nbsp; &nbsp; int B = 10 * X;<br />&nbsp; &nbsp; int C = 12 + Y;<br />&nbsp; &nbsp; int D = Y + 12;</p><p>&nbsp;</p><p>&nbsp; &nbsp; printf(""%d, %d, %d, %d"", A, B, C, D);<br />}</p><p>&nbsp;</p><p>What is the output?</p>","<p>120, 120, 37, 37</p>","<p>30, 102, 37, 37</p>","<p>30, 102, 85, 85</p>","<p>102, 30, 37, 37&nbsp;</p>","<p>30, 102, 85, 37</p>","<p>B is correct as the answer still follows the arithmetic rules, the operations are not done before but during the main code. ie. 10 + 2 * 10 and not 12 * 10.&nbsp;</p>",arithmetic
6981071,6/10/2024 22:27,3.3,31,23,A,5,"<p>What is the output of the code below?</p><p>&nbsp;</p><p>int a, b;<br />double c;<br />a = 15 % 7; <br />b = 20 / 5; <br />c = a / (double)b;<br />printf(""Result = %f"", c);</p>",<p>Result = 0.250000</p>,<p>Result = 0.500000</p><p>&nbsp;</p>,<p>Result = 0.750000<br /><br /></p>,<p>Result = 1.000000<br /><br /></p>,<p>Result = 1.250000</p>,"<p>The correct answer to the question is (a) Result = 0.250000 because of the series of calculations performed in the code. Initially, the variable a is calculated using the modulus operator: 15%7, which results in a remainder of 1. Thus, a is assigned the value 1. The variable b is computed through integer division 20/5, which evaluates to 4. In the next step, the value of c is determined by dividing a by b, but with b explicitly cast to a double: c=1/4.0. This floating-point division results in 0.25. When printed, the code outputs this value in floating-point format, leading to the final result displayed as ""Result = 0.250000."" Therefore, the correct answer is (a) Result = 0.250000.</p>",arithmetic
6981077,6/10/2024 21:19,3.19,32,21,B,5,"<p>#include &lt;stdio.h&gt;</p><p>&nbsp;</p><p>int main() {<br />&nbsp; &nbsp;char x[] = ""ENGGEN131"";<br />&nbsp; &nbsp;char *y = x;<br />&nbsp; &nbsp;int a;<br />&nbsp; &nbsp;double b = 3.4, c = 2.8;</p><p>&nbsp;</p><p>&nbsp; &nbsp;printf(""Line 1 | x is : %c \n"", *y);</p><p>&nbsp;</p><p>&nbsp; &nbsp;y = y + 1;</p><p>&nbsp; &nbsp;printf(""Line 2 | x is : %c \n"", *y);</p><p>&nbsp;</p><p>&nbsp; &nbsp;a = (int)b + (int)c;<br />&nbsp; &nbsp;y = y + a;</p><p>&nbsp;</p><p>&nbsp; &nbsp;printf(""Line 3 | x is : %c \n"", *y);</p><p>&nbsp;</p><p>&nbsp; &nbsp;return 0;<br />}<br /><br />Given this function, what does it print for Lines 2 and 3?</p>",<p>Line 2: N</p><p>Line 3: 3</p>,<p>Line 2: N</p><p>Line 3: 1</p>,<p>Line 2: F</p><p>Line 3: 3</p>,<p>Line 2: F</p><p>Line 3: 1</p>,<p>error</p>,"<p><strong>This is an example of pointer arithmetics:</strong></p><p><span style=""box-sizing: border-box; margin: 0px; padding: 0px;""><strong>Y</strong> is first defined as x, which is fine as array variables will always be defined as pointers by default, pointing to their 0th index or the first value stored which means you don't need to define <strong>y</strong> as <strong>&amp;x </strong>which doesn't result in an error.</span></p><p><br /> Line 2 prints 'N' when dereferences as when the pointer is defined it stores the value E and then when the pointers address is incremented by 1 it now points to the second letter stored in x. It doesn't print 'F' as it doesn't add one to the char value but to the pointer value.</p><p>&nbsp;</p><p><span style=""box-sizing: border-box; margin: 0px; padding: 0px;"">Line 3 prints as '1' when dereferenced. When <strong>a</strong> is defined it is defined as int(3.4) + int(2.8), which equals 5 as when a float is turned into an integer, it is floored(e.g. int(3.4) = 3). Then when you count/increment 5 places to the right of N you get '1'. It is not a value of 3, as if you might've incremented it the wrong amount.</span></p>","arithmetic, arrays"
6981104,6/10/2024 22:58,3.88,10,8,B,5,"<p>The output of the following code is:</p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">#include &lt;stdio.h&gt;</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">void foo(int values[], int len)</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">{</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp;&nbsp;for (int i = 0; i &lt; len; i++) {</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp;&nbsp;for (int j = 0; j &lt; values[i]; j++) {</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;printf(""%d"", values[i]);</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp; }</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp;&nbsp;printf(""\n"");</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; }</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">}</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">int main(void)</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">{</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp;&nbsp;int values[5] = {4, 2, 0, 6, 9};</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp;&nbsp;foo(values, 5);</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; return 0;</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">}</span></p>",<p>indeterminant (contains garbage values)</p>,"<p><span style=""font-family: 'courier new', courier, monospace;"">4444</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">22</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">666666</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">999999999</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">44444</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">222</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">0</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">6666666</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">9999999999</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">4444</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">22</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">666666</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">999999999</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">error</span></p>","<p>The outer&nbsp;<span style=""font-family: 'courier new', courier, monospace;"">for</span> loop loops through every value of <span style=""font-family: 'courier new', courier, monospace;"">values</span>. The inner <span style=""font-family: 'courier new', courier, monospace;"">for</span> loop prints this value the same number of times as the value itself, ie, the value 4 would get printed 4 times. After the inner <span style=""font-family: 'courier new', courier, monospace;"">for</span> loop finishes, a newline character is printed. For the value <span style=""font-family: 'courier new', courier, monospace;"">0</span>, the inner for loop wont run at all since the starting <span style=""font-family: 'courier new', courier, monospace;"">j = 0</span> is already less than <span style=""font-family: 'courier new', courier, monospace;"">0</span>.</p>","arrays, loop"
6981240,7/10/2024 1:28,3.63,8,8,B,5,"<p><strong><span style=""font-family: 'courier new', courier, monospace;"">The output of the following code is:</span></strong></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">#include &lt;stdio.h&gt;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">void Sequence(int *values, int length)</span><br /><span style=""font-family: 'courier new', courier, monospace;"">{</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp;for (int i = 0; i &lt; length; i++) {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;if ((i == 0) || (i == 1)) {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; values[i] = i;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;}</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp; else {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; values[i] = values[i-2] + values[i-1];</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp; }</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp;}</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span><br /><span style=""font-family: 'courier new', courier, monospace;"">int main(void)</span><br /><span style=""font-family: 'courier new', courier, monospace;"">{</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp;int values[10] = {1, 2, 3, 4, 5, 6, 7, 8, 9, 10};</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp;Sequence(values, 10);</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp;for (int i = 0; i &lt; 10; i++){</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;printf(""%d "", values[i]);</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; }</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">}</span></p>",<p>0 1 1 3 5 7 9 11 13 15</p>,<p>0 1 1 2 3 5 8 13 21 34</p>,<p>0 1 1 2 3 5 8 13 21 34 55</p>,<p>1 1 2 3 5 8 13 21 34 55</p>,<p>1 2 3 4 5 6 7 8 9 10</p>,"<p>The answer B is correct because the 'values array' is updated to {0, 1, 1, 2, 3, 5, 8, 13, 21, 34} by the Sequence function, this is then printed to the terminal by the for loop in the main function</p><p>&nbsp;</p><p>Answer A is incorrect because this incorrectly evaluates the values array updating for every value of i past 0 and 1 as ""values [i] = values[i]-2 + values[i]-1"" rather than ""values[i] = values[i-2] + values[i-1]""</p><p>&nbsp;</p><p>Answer C is incorrect because it exceeds the array length of 10.</p><p>&nbsp;</p><p>Answer D is incorrect because it assumes that the first index being changed is 1, where arrays start at index 0 in C (unlike MATLAB starting at index 1)</p><p>&nbsp;</p><p>Answer E is incorrect because it negates the fact that the values array is updated in the main function due to the fact that arrays are automatically called by reference when they are inputs to functions and assumes instead that the array is never updated in the main function</p>","arithmetic, arrays, loop"
6981622,7/10/2024 8:10,3,24,15,D,5,"<p>The LargerThan() function takes in 2 inputs, an integer 'a' and a pointer to an integer 'b', and should return 1 if 'a' is larger than what 'b' points to and 0 if it is not. A segment of the code is missing, however.&nbsp;</p><p>&nbsp;</p><p>int LargerThan(int a, int* b) {<br />&nbsp; &nbsp;if (&nbsp;<strong>??&nbsp;</strong>)&nbsp;{<br />&nbsp; &nbsp; &nbsp; return 0;<br />&nbsp; &nbsp;}<br />&nbsp; &nbsp;return 1;<br />}</p><p>&nbsp;</p><p>Which line of code could replace '??' to make the function work as intended?</p>",<p>a &gt; *b</p>,<p>a &lt; b || a == b</p>,<p>&amp;a &lt; b</p>,<p>a &lt; *b || a == *b</p>,<p>&amp;a &lt; b || &amp;a == b</p>,"<p>The conditional in the if statement determines whether the function returns 0. It, therefore, needs to evaluate to true if 'a' is not greater than the thing that b points to; if a is less than or equal to b. To check this, we need to dereference 'b' in our statement using '*b', to access the value that 'b' points to. The statement 'a &lt; *b || a == *b' correctly implements this.</p>","arithmetic, Pointers"
6981741,7/10/2024 4:07,2.67,8,6,A,5,"<p>what would this arrays output be?</p><p>&nbsp;</p><p>#include &lt;stdio.h&gt;</p><p>&nbsp;</p><p>&nbsp;</p><p>int test(int n, int m) {</p><p>&nbsp; &nbsp; if (n&nbsp; &lt;&nbsp; m) {</p><p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; return test(m, n);</p><p>&nbsp; &nbsp; &nbsp; &nbsp;&nbsp;</p><p>&nbsp; &nbsp; } else {<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;return n;</p><p><br />&nbsp; &nbsp; }<br />}</p><p>&nbsp;</p><p>&nbsp;</p><p>int main()&nbsp;</p><p>{<br />&nbsp; &nbsp;int values[6] = {2, 3, 5, 3, 7, 1};</p><p>&nbsp;</p><p>&nbsp; &nbsp;for (int i = 5; i &gt; 0; i--) {<br />&nbsp; &nbsp; &nbsp; if (values[i] &lt; test(values[i - 1], values[i])) {</p><p><br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;int temp = values[i];<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;values[i] = values[i - 1];<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;values[i - 1] = temp;</p><p>&nbsp;</p><p>&nbsp; &nbsp; &nbsp; }<br />&nbsp; &nbsp;}</p><p>&nbsp;</p><p>&nbsp; &nbsp;for (int i = 0; i &lt; 6; i++) {<br />&nbsp; &nbsp; &nbsp; printf(""%d "", values[i]);<br />&nbsp; &nbsp;}</p><p><br />&nbsp; &nbsp;return 0;<br />}</p>",<p>1 2 3 5 3 7</p>,<p>7 2 3 5 3 1</p>,<p>2 3 5 3 7 1</p>,<p>1 2 3 3 5 7</p>,<p>7 5 3 3 2 1&nbsp;</p>,<p>the test function returns the largest value from the two imputs.</p><p>the for loop swaps the two values if the number before i is larger.</p>,"arrays, loop, recursion"
